time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,19,9,0,0
2026-06-17 00:00:00+00:00,25,7,0,0
2026-06-18 00:00:00+00:00,27,8,1,1
2026-06-19 00:00:00+00:00,43,10,0,0
2026-06-20 00:00:00+00:00,38,9,0,0
2026-06-21 00:00:00+00:00,37,8,0,0
2026-06-22 00:00:00+00:00,28,9,0,0
2026-06-23 00:00:00+00:00,47,14,0,0
2026-06-24 00:00:00+00:00,33,9,0,0
2026-06-25 00:00:00+00:00,31,6,0,0
2026-06-26 00:00:00+00:00,9,5,0,0
2026-06-27 00:00:00+00:00,18,7,0,0
2026-06-28 00:00:00+00:00,21,8,5,1
2026-06-29 00:00:00+00:00,21,8,0,0
