time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-26 00:00:00+00:00,0,0,6,1
2024-11-28 00:00:00+00:00,0,0,14,3
2024-12-05 00:00:00+00:00,0,0,10,1
2024-12-06 00:00:00+00:00,0,0,6,1
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,1,1,2,1
2024-12-10 00:00:00+00:00,2,2,0,0
2024-12-13 00:00:00+00:00,0,0,2,1
2024-12-14 00:00:00+00:00,2,2,0,0
2024-12-15 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,2,2,4,1
2024-12-18 00:00:00+00:00,2,1,2,1
2024-12-19 00:00:00+00:00,1,1,0,0
2024-12-20 00:00:00+00:00,2,1,0,0
2024-12-21 00:00:00+00:00,2,1,0,0
2024-12-22 00:00:00+00:00,3,2,0,0
2024-12-23 00:00:00+00:00,4,2,0,0
2024-12-24 00:00:00+00:00,1,1,0,0
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-28 00:00:00+00:00,1,1,0,0
2024-12-29 00:00:00+00:00,1,1,0,0
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,8,1
2025-01-02 00:00:00+00:00,2,1,0,0
2025-01-04 00:00:00+00:00,2,1,0,0
2025-01-05 00:00:00+00:00,2,1,0,0
2025-01-06 00:00:00+00:00,4,2,0,0
2025-01-07 00:00:00+00:00,2,1,0,0
2025-01-08 00:00:00+00:00,1,1,1,1
2025-01-09 00:00:00+00:00,2,2,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-12 00:00:00+00:00,4,2,0,0
2025-01-13 00:00:00+00:00,1,1,1,1
2025-01-14 00:00:00+00:00,0,0,6,2
2025-01-15 00:00:00+00:00,1,1,2,1
2025-01-18 00:00:00+00:00,3,2,0,0
2025-01-20 00:00:00+00:00,2,1,0,0
